Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8
1579388400.0 1334.0 NA 106 570 0 NA NA NA NA NA 380 688 0 NA NA NA NA NA 522 1580 564 NA NA NA NA NA 488 1694 607 NA NA NA NA
1579388400.0 1335.0 NA 101 557 0 NA NA NA NA NA 380 678 0 NA NA NA NA NA 485 1573 563 NA NA NA NA NA 512 2062 619 NA NA NA NA
1579388400.0 1336.0 NA 106 569 0 NA NA NA NA NA 377 682 0 NA NA NA NA NA 553 1985 572 NA NA NA NA NA 529 1808 659 NA NA NA NA
1579388400.0 1337.0 NA 108 579 0 NA NA NA NA NA 380 695 0 NA NA NA NA NA 560 1954 582 NA NA NA NA NA 427 2024 646 NA NA NA NA
1579388400.0 1338.0 NA 105 570 0 NA NA NA NA NA 381 673 0 NA NA NA NA NA 529 1664 574 NA NA NA NA NA 500 1838 636 NA NA NA NA
1579388400.0 1339.0 NA 109 577 0 NA NA NA NA NA 381 700 0 NA NA NA NA NA 573 1895 573 NA NA NA NA NA 599 2226 646 NA NA NA NA
1579388400.0 134.0 NA 426 36 0 NA NA NA NA NA 515 76 0 NA NA NA NA NA 2841 110 68 NA NA NA NA NA 2258 251 118 NA NA NA NA
1579388400.0 134.71 NA 27 497 0 NA NA NA NA NA 75 589 0 NA NA NA NA NA 221 3796 583 NA NA NA NA NA 233 2479 623 NA NA NA NA
1579388400.0 134.801 NA 34 503 0 NA NA NA NA NA 86 595 0 NA NA NA NA NA 237 3978 595 NA NA NA NA NA 222 2344 761 NA NA NA NA
1579388400.0 134.812 NA 35 495 0 NA NA NA NA NA 77 601 0 NA NA NA NA NA 225 3967 582 NA NA NA NA NA 319 2390 707 NA NA NA NA
1579388400.0 134.813 NA 182 66 0 NA NA NA NA NA 266 109 0 NA NA NA NA NA 806 185 206 NA NA NA NA NA 774 212 262 NA NA NA NA
1579388400.0 134.901 NA 38 501 0 NA NA NA NA NA 84 595 0 NA NA NA NA NA 271 4131 591 NA NA NA NA NA 290 2311 738 NA NA NA NA
