Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6
1579388400.0 2017.1 357 0 129 NA NA NA 741 0 214 NA NA NA 1054 274 836 NA NA NA 1061 389 932 NA NA NA
1579388400.0 2017.11 362 0 130 NA NA NA 742 0 207 NA NA NA 1273 280 921 NA NA NA 1206 337 951 NA NA NA
1579388400.0 2017.12 370 0 127 NA NA NA 724 0 214 NA NA NA 1016 269 837 NA NA NA 1215 341 914 NA NA NA
1579388400.0 2017.6 363 0 128 NA NA NA 739 0 218 NA NA NA 1058 262 839 NA NA NA 1055 305 925 NA NA NA
1579388400.0 2017.7 353 0 127 NA NA NA 734 0 205 NA NA NA 968 262 818 NA NA NA 812 301 880 NA NA NA
1579388400.0 2018.7 361 0 125 NA NA NA 741 0 216 NA NA NA 1030 274 831 NA NA NA 1185 387 928 NA NA NA
1579388400.0 202.0 NA 184 366 0 NA NA NA 594 511 0 NA NA NA 864 2331 538 NA NA NA 614 2074 771 NA NA
1579388400.0 203.0 NA 176 366 0 NA NA NA 596 540 0 NA NA NA 807 2321 534 NA NA NA 742 2090 700 NA NA
1579388400.0 205.0 NA 177 358 0 NA NA NA 597 504 0 NA NA NA 835 2191 529 NA NA NA 795 1918 660 NA NA
1579388400.0 250200.0 NA 341 447 0 NA NA NA 670 608 0 NA NA NA 11446 2669 762 NA NA NA 4345 1902 840 NA NA
1579388400.0 250200.17 NA 391 474 0 NA NA NA 737 696 0 NA NA NA 12485 3112 1108 NA NA NA 4449 2158 1165 NA NA
1579388400.0 250200.18 NA 571 535 0 NA NA NA 1139 801 0 NA NA NA 19519 4150 1904 NA NA NA 7118 2428 1970 NA NA
1579388400.0 250202.0 NA 319 440 0 NA NA NA 685 616 0 NA NA NA 11843 3289 770 NA NA NA 3954 2212 827 NA NA
1579388400.0 250202.17 NA 395 475 0 NA NA NA 875 708 0 NA NA NA 12276 3413 1121 NA NA NA 4459 2322 1171 NA NA
1579388400.0 250202.18 NA 596 554 0 NA NA NA 1140 807 0 NA NA NA 21247 5043 1900 NA NA NA 7948 2777 1953 NA NA
1579388400.0 250202.181 NA 451 581 562 0 NA NA 687 1195 753 0 NA NA 5036 21281 4548 1912 NA NA 2109 7376 2560 1982 NA
1579388400.0 250203.0 NA 325 440 0 NA NA NA 685 589 0 NA NA NA 11171 2899 767 NA NA NA 3950 1955 838 NA NA
1579388400.0 250203.17 NA 393 451 0 NA NA NA 747 645 0 NA NA NA 12352 2818 1125 NA NA NA 4300 2119 1237 NA NA
1579388400.0 250203.18 NA 583 540 0 NA NA NA 1071 734 0 NA NA NA 21080 4016 1907 NA NA NA 7530 2374 1955 NA NA
1579388400.0 250204.0 NA 327 444 0 NA NA NA 735 626 0 NA NA NA 11192 3085 765 NA NA NA 4003 1939 828 NA NA
1579388400.0 250204.18 NA 573 541 0 NA NA NA 1132 745 0 NA NA NA 20257 4147 1899 NA NA NA 7406 2507 1957 NA NA
1579388400.0 250205.0 NA 317 438 0 NA NA NA 684 644 0 NA NA NA 11414 2747 758 NA NA NA 4021 1982 829 NA NA
1579388400.0 250205.17 NA 388 476 0 NA NA NA 800 694 0 NA NA NA 11487 2929 1105 NA NA NA 4419 2342 1153 NA NA
1579388400.0 250205.18 NA 562 554 0 NA NA NA 1146 768 0 NA NA NA 19899 4263 1882 NA NA NA 7423 2711 1929 NA NA
1579388400.0 250206.0 NA 317 434 0 NA NA NA 733 604 0 NA NA NA 11480 2986 761 NA NA NA 3999 2157 815 NA NA
1579388400.0 250206.118 65 523 288 174 NA NA 142 793 481 266 NA NA 1507 2658 2031 1342 NA NA 796 2009 1577 1519 NA NA
1579388400.0 250206.17 NA 378 483 0 NA NA NA 723 676 0 NA NA NA 11908 3077 1116 NA NA NA 4534 2140 1168 NA NA
1579388400.0 250206.18 NA 585 582 0 NA NA NA 1266 823 0 NA NA NA 20688 4624 1917 NA NA NA 7754 2636 1973 NA NA
1579388400.0 250207.0 NA 326 443 0 NA NA NA 681 633 0 NA NA NA 10439 2752 761 NA NA NA 3902 2052 951 NA NA
1579388400.0 250207.18 NA 554 579 0 NA NA NA 1216 776 0 NA NA NA 19652 4093 1888 NA NA NA 7288 2427 1959 NA NA
1579388400.0 250208.17 NA 399 481 0 NA NA NA 787 679 0 NA NA NA 13218 4295 1139 NA NA NA 5076 2613 1195 NA NA
1579388400.0 250399.17 334 NA NA NA NA NA 664 NA NA NA NA NA 1345 NA NA NA NA NA 1016 NA NA NA NA NA
1579388400.0 250399.18 349 NA NA NA NA NA 663 NA NA NA NA NA 1366 NA NA NA NA NA 1041 NA NA NA NA NA
1579388400.0 250400.18 428 0 133 NA NA NA 750 0 228 NA NA NA 1555 263 917 NA NA NA 1532 350 924 NA NA NA
1579388400.0 250402.171 331 406 0 NA NA NA 665 732 0 NA NA NA 1301 1641 272 NA NA NA 1201 1024 335 NA NA NA
1579388400.0 250402.18 422 0 134 NA NA NA 773 0 225 NA NA NA 1657 275 944 NA NA NA 1411 365 999 NA NA NA
1579388400.0 250408.18 423 0 133 NA NA NA 773 0 221 NA NA NA 1665 273 936 NA NA NA 1676 351 974 NA NA NA
1579388400.0 250409.0 368 0 136 NA NA NA 693 0 215 NA NA NA 1538 244 972 NA NA NA 1465 323 973 NA NA NA
1579388400.0 250409.17 429 0 136 NA NA NA 785 0 230 NA NA NA 1781 273 1014 NA NA NA 1432 339 1206 NA NA NA
1579388400.0 250409.18 432 0 139 NA NA NA 775 0 225 NA NA NA 1861 283 1016 NA NA NA 1420 388 1000 NA NA NA
1579388400.0 25210.0 0 NA NA NA NA NA 0 NA NA NA NA NA 617 NA NA NA NA NA 519 NA NA NA NA NA
1579388400.0 4.23 NA 69 302 0 NA NA NA 130 440 0 NA NA NA 358 2718 782 NA NA NA 415 2131 836 NA NA
1579388400.0 4.25 NA 61 297 0 NA NA NA 126 416 0 NA NA NA 320 2864 669 NA NA NA 387 2825 722 NA NA
1579388400.0 4.28 NA 71 295 0 NA NA NA 129 414 0 NA NA NA 302 2549 2236 NA NA NA 568 2202 2295 NA NA
1579388400.0 4.36 NA 65 307 0 NA NA NA 121 424 0 NA NA NA 307 3396 617 NA NA NA 292 2401 673 NA NA
1579388400.0 4.37 NA 68 308 0 NA NA NA 125 442 0 NA NA NA 334 3812 646 NA NA NA 306 2275 701 NA NA
1579388400.0 4.4 NA 42 312 0 NA NA NA 91 416 0 NA NA NA 262 3608 617 NA NA NA 371 2429 719 NA NA
1579388400.0 4.44 NA 34 308 0 NA NA NA 94 452 0 NA NA NA 245 4284 605 NA NA NA 397 2465 666 NA NA
1579388400.0 4.58 NA 52 315 0 NA NA NA 107 466 0 NA NA NA 284 4310 629 NA NA NA 404 2378 765 NA NA
1579388400.0 4001.0 NA 163 357 NA NA NA NA 599 515 NA NA NA NA 746 2304 NA NA NA NA 792 2152 NA NA NA
1579388400.0 4006.0 63 170 345 NA NA NA 144 595 518 NA NA NA 1256 781 2089 NA NA NA 703 563 2108 NA NA NA
1579388400.0 4007.0 68 182 282 NA NA NA 131 597 434 NA NA NA 1070 422 1629 NA NA NA 922 388 2066 NA NA NA
1579388400.0 4008.0 58 213 290 NA NA NA 130 595 437 NA NA NA 1017 325 1587 NA NA NA 698 586 1897 NA NA NA
1579388400.0 512.0 19 44 0 NA NA NA 67 90 0 NA NA NA 2467 139 111 NA NA NA 3560 184 208 NA NA NA
1579388400.0 518.0 19 44 0 NA NA NA 67 91 0 NA NA NA 2731 147 115 NA NA NA 7325 295 221 NA NA NA
1579388400.0 522.0 19 38 0 NA NA NA 67 93 0 NA NA NA 2731 163 115 NA NA NA 7324 394 508 NA NA NA
1579388400.0 562.0 0 NA NA NA NA NA 0 NA NA NA NA NA 628 NA NA NA NA NA 4027 NA NA NA NA NA
1579388400.0 7.2 58 220 247 68 0 NA 118 667 353 116 0 NA 891 1644 624 213 711 NA 522 1841 673 287 774 NA
