Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueRss8 PeakValueRss9 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 PeakValueVsize8 PeakValueVsize9 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobCPU8 TotalJobCPU9 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7 TotalJobTime8 TotalJobTime9
1579388400.0 130.0 53 97 252 NA NA NA NA NA NA 120 423 578 NA NA NA NA NA NA 542 444 1577 NA NA NA NA NA NA 647 402 1939 NA NA NA NA NA NA
1579388400.0 13034.0 NA 412 607 0 145 NA NA NA NA NA 802 937 0 267 NA NA NA NA NA 4398 4662 1611 883 NA NA NA NA NA 2656 3473 1825 959 NA NA NA NA
1579388400.0 131.0 53 104 252 NA NA NA NA NA NA 121 429 570 NA NA NA NA NA NA 868 455 1592 NA NA NA NA NA NA 643 432 1946 NA NA NA NA NA NA
1579388400.0 1325.5 NA 161 0 NA NA NA NA NA NA NA 260 0 NA NA NA NA NA NA NA 4206 135 NA NA NA NA NA NA NA 3847 241 NA NA NA NA NA NA
1579388400.0 1325.51 NA 157 0 NA NA NA NA NA NA NA 265 0 NA NA NA NA NA NA NA 1633 138 NA NA NA NA NA NA NA 1655 184 NA NA NA NA NA NA
1579388400.0 1329.1 NA 168 0 NA NA NA NA NA NA NA 297 0 NA NA NA NA NA NA NA 4924 118 NA NA NA NA NA NA NA 3976 211 NA NA NA NA NA NA
1579388400.0 134.0 NA 300 33 0 NA NA NA NA NA NA 575 85 0 NA NA NA NA NA NA 3221 128 76 NA NA NA NA NA NA 2115 201 122 NA NA NA NA NA
1579388400.0 134.71 NA 35 297 0 NA NA NA NA NA NA 88 619 0 NA NA NA NA NA NA 229 3976 348 NA NA NA NA NA NA 218 2204 416 NA NA NA NA NA
1579388400.0 134.813 NA 141 55 0 NA NA NA NA NA NA 259 120 0 NA NA NA NA NA NA 897 215 228 NA NA NA NA NA NA 649 248 299 NA NA NA NA NA
1579388400.0 134.912 NA 33 298 0 NA NA NA NA NA NA 95 587 0 NA NA NA NA NA NA 254 4195 368 NA NA NA NA NA NA 264 2581 468 NA NA NA NA NA
