Timestamp WorkflowId PeakValueRss1 PeakValueRss2 PeakValueRss3 PeakValueRss4 PeakValueRss5 PeakValueRss6 PeakValueRss7 PeakValueVsize1 PeakValueVsize2 PeakValueVsize3 PeakValueVsize4 PeakValueVsize5 PeakValueVsize6 PeakValueVsize7 TotalJobCPU1 TotalJobCPU2 TotalJobCPU3 TotalJobCPU4 TotalJobCPU5 TotalJobCPU6 TotalJobCPU7 TotalJobTime1 TotalJobTime2 TotalJobTime3 TotalJobTime4 TotalJobTime5 TotalJobTime6 TotalJobTime7
1579388400.0 25213.17 71 308 772 0 NA NA NA 130 526 943 0 NA NA NA 4257 3041 3758 1306 NA NA NA 2585 4192 1642 1357 NA NA NA
1579388400.0 25214.0 NA 196 765 0 NA NA NA NA 396 1010 0 NA NA NA NA 2289 2427 424 NA NA NA NA 2144 1716 435 NA NA NA
1579388400.0 25406.0 360 0 94 NA NA NA NA 543 0 150 NA NA NA NA 994 110 114 NA NA NA NA 907 116 154 NA NA NA NA
1579388400.0 300.0 63 125 392 NA NA NA NA 127 388 524 NA NA NA NA 915 318 480 NA NA NA NA 608 519 600 NA NA NA NA
1579388400.0 301.0 63 123 391 NA NA NA NA 128 398 525 NA NA NA NA 1039 304 464 NA NA NA NA 651 306 481 NA NA NA NA
1579388400.0 302.0 62 129 387 0 NA NA NA 125 396 520 0 NA NA NA 911 322 481 319 NA NA NA 526 459 681 333 NA NA NA
1579388400.0 4.6 NA 489 0 NA NA NA NA NA 565 0 NA NA NA NA NA 1401 278 NA NA NA NA NA 932 294 NA NA NA NA
1579388400.0 4001.0 NA 159 547 NA NA NA NA NA 383 652 NA NA NA NA NA 763 1161 NA NA NA NA NA 418 974 NA NA NA NA
1579388400.0 4006.0 67 128 525 NA NA NA NA 139 374 647 NA NA NA NA 1140 749 843 NA NA NA NA 542 535 762 NA NA NA NA
1579388400.0 4007.0 53 92 461 NA NA NA NA 113 381 567 NA NA NA NA 824 257 433 NA NA NA NA 592 297 592 NA NA NA NA
1579388400.0 4008.0 43 0 0 NA NA NA NA 90 0 0 NA NA NA NA 656 105 258 NA NA NA NA 425 53 321 NA NA NA NA
1579388400.0 500200.0 NA 190 538 0 NA NA NA NA 424 657 0 NA NA NA NA 6541 1276 323 NA NA NA NA 3605 723 347 NA NA NA
1579388400.0 500205.0 NA 191 563 0 NA NA NA NA 402 683 0 NA NA NA NA 6659 1605 322 NA NA NA NA 3590 758 340 NA NA NA
1579388400.0 517.0 16 36 0 NA NA NA NA 57 85 0 NA NA NA NA 1270 60 7 NA NA NA NA 1762 67 11 NA NA NA NA
1579388400.0 520.0 16 36 0 NA NA NA NA 57 84 0 NA NA NA NA 1266 41 7 NA NA NA NA 1719 40 10 NA NA NA NA
1579388400.0 522.0 0 NA NA NA NA NA NA 0 NA NA NA NA NA NA 2694 NA NA NA NA NA NA 4274 NA NA NA NA NA NA
1579388400.0 529.0 0 NA NA NA NA NA NA 0 NA NA NA NA NA NA 2699 NA NA NA NA NA NA 4343 NA NA NA NA NA NA
1579388400.0 552.0 16 40 0 NA NA NA NA 57 85 0 NA NA NA NA 1259 62 7 NA NA NA NA 1473 54 13 NA NA NA NA
1579388400.0 7.1 62 90 172 55 0 NA NA 113 367 250 104 0 NA NA 1385 322 290 57 97 NA NA 715 229 313 110 105 NA NA
